bairro,grau,ordem_ego,tamanho_ego,densidade_ego
Casa Amarela,9,10,17,0.37777777777777777
Agua Fria,8,9,14,0.3888888888888889
Boa Vista,7,8,13,0.4642857142857143
Alto Jose Do Pinho,6,7,8,0.38095238095238093
Campo Grande,6,7,11,0.5238095238095238
Santo Antonio,6,7,13,0.6190476190476191
Sao Jose,6,7,9,0.42857142857142855
Brejo Da Guabiraba,5,6,8,0.5333333333333333
Areias,5,6,7,0.4666666666666667
Coelhos,5,6,9,0.6
Campina Do Barreto,5,6,9,0.6
Arruda,5,6,9,0.6
Apipucos,5,6,7,0.4666666666666667
Afogados,5,6,8,0.5333333333333333
Ibura,5,6,9,0.6
Jiquia,5,6,8,0.5333333333333333
Nova Descoberta,5,6,9,0.6
Parnamirim,5,6,10,0.6666666666666666
Santo Amaro,5,6,9,0.6
Tamarineira,5,6,9,0.6
San Martin,5,6,8,0.5333333333333333
Vasco Da Gama,5,6,8,0.5333333333333333
Curado,5,6,6,0.4
Encruzilhada,5,6,10,0.6666666666666666
Iputinga,5,6,8,0.5333333333333333
Gracas,5,6,7,0.4666666666666667
Cordeiro,5,6,7,0.4666666666666667
Beberibe,4,5,7,0.7
Alto Do Mandu,4,5,7,0.7
Boa Viagem,4,5,7,0.7
Varzea,4,5,6,0.6
Zumbi,4,5,8,0.8
Tejipio,4,5,5,0.5
Santana,4,5,7,0.7
Sancho,4,5,7,0.7
Poco,4,5,7,0.7
Prado,4,5,7,0.7
Porto Da Madeira,4,5,7,0.7
Jardim Sao Paulo,4,5,5,0.5
Macaxeira,4,5,6,0.6
Mangueira,4,5,8,0.8
Madalena,4,5,7,0.7
Imbiribeira,4,5,7,0.7
Casa Forte,4,5,8,0.8
Brejo De Beberibe,4,5,7,0.7
Fundao,4,5,8,0.8
Morro Da Conceicao,4,5,7,0.7
Pina,4,5,5,0.5
Ponto De Parada,4,5,8,0.8
Paissandu,4,5,5,0.5
Mustardinha,4,5,8,0.8
Jaqueira,4,5,7,0.7
Dois Irmaos,4,5,4,0.4
Monteiro,4,5,7,0.7
Bongi,3,4,5,0.8333333333333334
Alto Jose Bonifacio,3,4,4,0.6666666666666666
Barro,3,4,3,0.5
Bomba Do Hemeterio,3,4,4,0.6666666666666666
Alto Santa Teresinha,3,4,3,0.5
Cidade Universitaria,3,4,5,0.8333333333333334
Caxanga,3,4,4,0.6666666666666666
Cohab,3,4,4,0.6666666666666666
Toto,3,4,5,0.8333333333333334
Torreao,3,4,4,0.6666666666666666
Soledade,3,4,6,1.0
Recife,3,4,5,0.8333333333333334
Cajueiro,3,4,5,0.8333333333333334
Ilha Joana Bezerra,3,4,4,0.6666666666666666
Jordao,3,4,5,0.8333333333333334
Linha Do Tiro,3,4,5,0.8333333333333334
Estancia,3,4,5,0.8333333333333334
Espinheiro,3,4,4,0.6666666666666666
Coqueiral,3,4,5,0.8333333333333334
Engenho Do Meio,3,4,4,0.6666666666666666
Hipodromo,3,4,6,1.0
Ilha Do Retiro,3,4,4,0.6666666666666666
Ilha Do Leite,3,4,5,0.8333333333333334
Corrego Do Jenipapo,3,4,5,0.8333333333333334
Torre,3,4,5,0.8333333333333334
Peixinhos,3,4,5,0.8333333333333334
Cabanga,2,3,2,0.6666666666666666
Aflitos,2,3,3,1.0
Torroes,2,3,2,0.6666666666666666
Rosarinho,2,3,3,1.0
Dois Unidos,2,3,3,1.0
Ipsep,2,3,3,1.0
Passarinho,2,3,3,1.0
Cacote,1,2,1,1.0
Brasilia Teimosa,1,2,1,1.0
Derby,1,2,1,1.0
Mangabeira,1,2,1,1.0
Guabiraba,1,2,1,1.0
Sitio Dos Pintos,1,2,1,1.0
Pau-Ferro,0,1,0,0.0
